 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,443,5088.156,3382,6816,2254053.000,2254053.000
2,290,4619.883,3409,6133,1339766.000,1339766.000
3,361,4412.784,3383,5794,1593015.000,1593015.000
4,466,4382.142,3382,5724,2042078.000,2042078.000
5,306,4510.882,3386,5891,1380330.000,1380330.000
6,273,4430.194,3389,5749,1209443.000,1209443.000
7,296,4181.993,3382,5296,1237870.000,1237870.000
8,273,6064.286,3384,8467,1655550.000,1655550.000
9,330,4862.188,3392,6202,1604522.000,1604522.000
10,293,4494.939,3416,6183,1317017.000,1317017.000
11,343,4498.510,3391,5672,1542989.000,1542989.000
12,259,3839.039,3385,5058,994311.000,994311.000
13,292,4224.247,3394,5295,1233480.000,1233480.000
14,287,3942.700,3391,4661,1131555.000,1131555.000
15,349,4078.968,3382,5266,1423560.000,1423560.000
16,390,4105.772,3384,5346,1601251.000,1601251.000
17,340,4505.462,3397,5513,1531857.000,1531857.000
18,320,4582.556,3393,5983,1466418.000,1466418.000
19,343,4770.362,3392,6624,1636234.000,1636234.000
20,298,4334.510,3384,5393,1291684.000,1291684.000
21,363,4735.433,3382,6502,1718962.000,1718962.000
22,267,4146.569,3382,5097,1107134.000,1107134.000
23,376,4569.388,3396,5912,1718090.000,1718090.000
24,488,8317.219,3391,14583,4058803.000,4058803.000
25,355,4710.524,3386,6531,1672236.000,1672236.000
26,433,5075.048,3385,6989,2197496.000,2197496.000
27,303,4219.046,3385,5172,1278371.000,1278371.000
28,347,4283.268,3388,5170,1486294.000,1486294.000
29,352,4830.378,3382,6525,1700293.000,1700293.000
30,487,4937.337,3396,7033,2404483.000,2404483.000
31,295,4478.603,3389,5624,1321188.000,1321188.000
32,294,4273.680,3383,5229,1256462.000,1256462.000
33,333,4341.670,3385,5602,1445776.000,1445776.000
34,259,4782.023,3383,7241,1238544.000,1238544.000
35,278,6641.496,3470,10128,1846336.000,1846336.000
36,308,4159.500,3391,5360,1281126.000,1281126.000
37,347,4123.006,3382,5144,1430683.000,1430683.000
38,356,5069.699,3384,6915,1804813.000,1804813.000
39,351,4171.923,3392,5436,1464345.000,1464345.000
40,341,4059.217,3383,5007,1384193.000,1384193.000
41,221,3910.905,3385,4976,864310.000,864310.000
42,299,4218.722,3383,5222,1261398.000,1261398.000
43,461,4930.902,3407,6473,2273146.000,2273146.000
44,494,5063.721,3390,7505,2501478.000,2501478.000
45,354,4534.545,3383,5780,1605229.000,1605229.000
46,291,4941.086,3384,6651,1437856.000,1437856.000
47,356,4549.101,3387,5908,1619480.000,1619480.000
48,409,4004.787,3386,4944,1637958.000,1637958.000
49,296,5991.956,3388,8402,1773619.000,1773619.000
50,275,3825.185,3382,4580,1051926.000,1051926.000
51,354,4400.220,3383,5908,1557678.000,1557678.000
52,375,4650.827,3410,6224,1744060.000,1744060.000
53,356,5204.289,3409,7204,1852727.000,1852727.000
54,421,5620.444,3390,7321,2366207.000,2366207.000
55,399,4334.145,3383,5553,1729324.000,1729324.000
56,454,5155.857,3390,6662,2340759.000,2340759.000
57,335,5944.448,3420,8046,1991390.000,1991390.000
58,321,5414.819,3440,7168,1738157.000,1738157.000
59,403,4587.521,3407,5876,1848771.000,1848771.000
60,236,5275.610,3427,7973,1245044.000,1245044.000
61,342,5437.266,3387,6973,1859545.000,1859545.000
62,325,4273.674,3412,5327,1388944.000,1388944.000
63,385,5553.431,3387,7513,2138071.000,2138071.000
64,307,5150.805,3429,6851,1581297.000,1581297.000
65,288,4314.656,3388,6052,1242621.000,1242621.000
66,346,4779.578,3390,6582,1653734.000,1653734.000
67,477,5646.623,3397,8142,2693439.000,2693439.000
68,357,4865.471,3398,6328,1736973.000,1736973.000
69,284,4103.465,3386,5358,1165384.000,1165384.000
70,241,4341.087,3405,5493,1046202.000,1046202.000
71,436,5415.087,3395,6991,2360978.000,2360978.000
72,340,4152.735,3386,5067,1411930.000,1411930.000
73,314,5788.029,3404,7765,1817441.000,1817441.000
74,334,4203.751,3393,5583,1404053.000,1404053.000
75,356,4331.225,3384,5529,1541916.000,1541916.000
76,302,4201.467,3382,5216,1268843.000,1268843.000
77,425,4068.911,3385,5300,1729287.000,1729287.000
78,259,6915.737,3388,9837,1791176.000,1791176.000
79,372,4864.172,3393,6751,1809472.000,1809472.000
80,421,5523.948,3386,7197,2325582.000,2325582.000
81,472,5582.752,3402,7628,2635059.000,2635059.000
82,256,4225.492,3387,5185,1081726.000,1081726.000
83,204,3880.172,3392,4602,791555.000,791555.000
84,377,4813.005,3395,6653,1814503.000,1814503.000
85,277,4375.022,3382,5423,1211881.000,1211881.000
86,337,5366.884,3407,7672,1808640.000,1808640.000
87,241,3995.017,3400,4903,962799.000,962799.000
88,316,4653.354,3384,6035,1470460.000,1470460.000
89,316,5719.022,3434,8380,1807211.000,1807211.000
90,472,5903.642,3468,7876,2786519.000,2786519.000
91,354,4719.650,3384,6228,1670756.000,1670756.000
92,389,4768.134,3411,6163,1854804.000,1854804.000
93,191,3713.990,3385,4270,709372.000,709372.000
94,375,4849.819,3387,6575,1818682.000,1818682.000
95,334,4237.491,3383,5453,1415322.000,1415322.000
96,280,4426.675,3393,5838,1239469.000,1239469.000
97,437,4416.838,3385,5630,1930158.000,1930158.000
98,358,6217.849,3400,9113,2225990.000,2225990.000
99,391,4328.205,3391,5213,1692328.000,1692328.000
100,273,4835.377,3396,5924,1320058.000,1320058.000
101,318,5476.374,3405,7928,1741487.000,1741487.000
102,462,5703.489,3397,8146,2635012.000,2635012.000
103,400,5739.408,3391,7755,2295763.000,2295763.000
104,409,5396.873,3386,7081,2207321.000,2207321.000
105,381,4624.635,3390,6004,1761986.000,1761986.000
106,360,4855.756,3390,6383,1748072.000,1748072.000
107,244,4487.545,3385,6289,1094961.000,1094961.000
108,387,5159.537,3392,7561,1996741.000,1996741.000
109,318,4515.075,3401,6313,1435794.000,1435794.000
110,410,4720.441,3383,6451,1935381.000,1935381.000
111,357,4218.711,3383,5669,1506080.000,1506080.000
112,237,4052.046,3385,4949,960335.000,960335.000
113,253,4620.447,3402,5773,1168973.000,1168973.000
114,260,4153.935,3391,4926,1080023.000,1080023.000
115,403,4659.238,3396,5942,1877673.000,1877673.000
116,337,5898.131,3404,8543,1987670.000,1987670.000
117,376,5185.585,3389,6654,1949780.000,1949780.000
118,268,4493.601,3383,5859,1204285.000,1204285.000
119,429,4359.056,3382,6062,1870035.000,1870035.000
120,329,4857.495,3392,6494,1598116.000,1598116.000
121,365,5678.066,3382,7516,2072494.000,2072494.000
122,460,4583.109,3394,6225,2108230.000,2108230.000
123,240,4373.875,3401,5629,1049730.000,1049730.000
124,476,7507.431,3393,11092,3573537.000,3573537.000
125,353,5644.116,3411,7630,1992373.000,1992373.000
126,259,3874.560,3387,4868,1003511.000,1003511.000
127,392,4772.969,3383,6351,1871004.000,1871004.000
128,347,5298.496,3417,7019,1838578.000,1838578.000
129,348,4637.589,3393,5821,1613881.000,1613881.000
130,280,4321.100,3415,5848,1209908.000,1209908.000
131,321,6163.421,3385,9764,1978458.000,1978458.000
132,181,3996.972,3382,5099,723452.000,723452.000
133,428,5325.811,3396,6997,2279447.000,2279447.000
134,159,5647.340,3382,9092,897927.000,897927.000
135,220,3751.750,3386,4370,825385.000,825385.000
136,259,4256.131,3382,5369,1102338.000,1102338.000
137,277,4552.375,3397,6030,1261008.000,1261008.000
138,378,5326.471,3402,7637,2013406.000,2013406.000
139,278,4314.986,3386,5427,1199566.000,1199566.000
140,387,5990.274,3383,9579,2318236.000,2318236.000
141,276,4536.221,3396,6134,1251997.000,1251997.000
142,336,6024.920,3386,8521,2024373.000,2024373.000
143,263,4606.046,3394,5785,1211390.000,1211390.000
144,274,4051.609,3384,4825,1110141.000,1110141.000
145,449,4215.341,3382,5361,1892688.000,1892688.000
146,386,5025.083,3388,6602,1939682.000,1939682.000
147,429,7138.825,3388,10854,3062556.000,3062556.000
148,438,4614.041,3389,6428,2020950.000,2020950.000
149,478,5078.619,3386,6876,2427580.000,2427580.000
150,319,5597.376,3400,8123,1785563.000,1785563.000
151,386,4499.360,3399,5721,1736753.000,1736753.000
152,408,5155.032,3428,6628,2103253.000,2103253.000
153,321,4952.128,3384,7704,1589633.000,1589633.000
154,222,3779.149,3387,4477,838971.000,838971.000
155,323,4385.251,3388,5667,1416436.000,1416436.000
156,299,5128.207,3409,7181,1533334.000,1533334.000
157,423,4923.678,3447,6154,2082716.000,2082716.000
158,406,4576.187,3396,6491,1857932.000,1857932.000
159,278,4213.845,3383,5573,1171449.000,1171449.000
160,320,5887.100,3383,8536,1883872.000,1883872.000
161,400,5027.520,3446,6536,2011008.000,2011008.000
162,491,6061.485,3408,8177,2976189.000,2976189.000
163,281,4846.964,3384,6320,1361997.000,1361997.000
164,315,4686.187,3383,6207,1476149.000,1476149.000
165,370,5580.746,3397,8128,2064876.000,2064876.000
166,386,5279.070,3411,7286,2037721.000,2037721.000
167,390,5045.718,3430,6386,1967830.000,1967830.000
168,404,5412.500,3390,7447,2186650.000,2186650.000
169,331,4296.952,3393,5566,1422291.000,1422291.000
170,369,5813.203,3391,8704,2145072.000,2145072.000
171,271,4453.303,3393,5697,1206845.000,1206845.000
172,339,4606.457,3400,6521,1561589.000,1561589.000
173,249,4341.703,3402,5562,1081084.000,1081084.000
174,376,4448.261,3388,5772,1672546.000,1672546.000
175,368,4648.429,3389,6365,1710622.000,1710622.000
176,325,5373.714,3384,6679,1746457.000,1746457.000
177,259,4541.691,3418,5798,1176298.000,1176298.000
178,387,4878.429,3384,6861,1887952.000,1887952.000
179,213,3878.394,3399,4738,826098.000,826098.000
180,319,4470.715,3382,5696,1426158.000,1426158.000
181,371,5169.585,3386,7175,1917916.000,1917916.000
182,355,4563.986,3387,5913,1620215.000,1620215.000
183,409,4762.868,3402,6971,1948013.000,1948013.000
184,384,5339.622,3387,7235,2050415.000,2050415.000
185,381,4618.136,3422,5873,1759510.000,1759510.000
186,422,5015.886,3434,6961,2116704.000,2116704.000
187,484,5217.428,3383,7142,2525235.000,2525235.000
188,367,5348.591,3384,7984,1962933.000,1962933.000
189,356,4730.871,3397,6388,1684190.000,1684190.000
190,443,4329.230,3396,5657,1917849.000,1917849.000
191,226,4022.761,3386,4980,909144.000,909144.000
192,398,5594.872,3400,7214,2226759.000,2226759.000
193,375,5150.485,3401,7272,1931432.000,1931432.000
194,264,4214.197,3383,5311,1112548.000,1112548.000
195,307,6672.199,3463,9754,2048365.000,2048365.000
196,466,4536.509,3407,6110,2114013.000,2114013.000
197,419,5191.582,3409,7043,2175273.000,2175273.000
198,361,5161.620,3391,6916,1863345.000,1863345.000
199,361,5514.374,3388,7598,1990689.000,1990689.000
200,254,4174.744,3382,4996,1060385.000,1060385.000
201,288,5432.434,3390,7348,1564541.000,1564541.000
202,344,4275.983,3410,5473,1470938.000,1470938.000
203,234,9458.432,3412,16481,2213273.000,2213273.000
204,330,5487.297,3438,7275,1810808.000,1810808.000
205,346,4944.543,3386,6814,1710812.000,1710812.000
206,320,6202.566,3412,8818,1984821.000,1984821.000
207,485,5109.458,3390,6890,2478087.000,2478087.000
208,241,4503.913,3399,5329,1085443.000,1085443.000
209,383,5065.815,3391,6870,1940207.000,1940207.000
210,334,5809.581,3451,7368,1940400.000,1940400.000
211,446,5480.341,3401,7472,2444232.000,2444232.000
212,252,4310.810,3387,5471,1086324.000,1086324.000
213,375,4300.016,3397,5662,1612506.000,1612506.000
214,410,5118.837,3389,6896,2098723.000,2098723.000
215,349,9647.390,3426,15047,3366939.000,3366939.000
216,322,4881.901,3385,7174,1571972.000,1571972.000
217,395,5635.970,3385,7810,2226208.000,2226208.000
218,364,5077.236,3397,6703,1848114.000,1848114.000
219,295,4209.932,3384,5342,1241930.000,1241930.000
220,347,4716.291,3398,6384,1636553.000,1636553.000
221,241,3926.145,3382,4755,946201.000,946201.000
222,265,4424.385,3383,5685,1172462.000,1172462.000
223,296,4941.753,3394,6817,1462759.000,1462759.000
224,324,6130.015,3410,9213,1986125.000,1986125.000
225,437,4666.167,3410,6515,2039115.000,2039115.000
226,263,3886.669,3383,4538,1022194.000,1022194.000
227,253,4770.300,3418,5794,1206886.000,1206886.000
228,338,4596.426,3395,5851,1553592.000,1553592.000
229,242,4118.868,3382,5026,996766.000,996766.000
230,428,5179.119,3409,7014,2216663.000,2216663.000
231,240,3883.558,3382,4746,932054.000,932054.000
232,480,9086.115,3389,13735,4361335.000,4361335.000
233,418,4817.708,3392,6132,2013802.000,2013802.000
234,211,7288.194,3447,11348,1537809.000,1537809.000
235,279,4251.265,3390,5468,1186103.000,1186103.000
236,248,3945.972,3384,5036,978601.000,978601.000
237,287,5055.268,3487,6880,1450862.000,1450862.000
238,360,5402.794,3449,7121,1945006.000,1945006.000
239,345,4088.145,3393,5374,1410410.000,1410410.000
240,388,4283.247,3390,5735,1661900.000,1661900.000
241,343,4565.050,3383,6009,1565812.000,1565812.000
242,260,4476.396,3401,5611,1163863.000,1163863.000
243,272,4370.886,3397,5386,1188881.000,1188881.000
244,372,5691.460,3389,7474,2117223.000,2117223.000
245,369,5790.577,3418,7596,2136723.000,2136723.000
246,393,4225.478,3382,5401,1660613.000,1660613.000
247,283,4230.360,3395,5067,1197192.000,1197192.000
248,443,7318.591,3387,13212,3242136.000,3242136.000
249,242,3921.665,3388,4733,949043.000,949043.000
250,440,4705.023,3386,6084,2070210.000,2070210.000
251,234,9477.162,3399,17382,2217656.000,2217656.000
252,380,6207.418,3398,9933,2358819.000,2358819.000
253,332,4542.130,3389,6102,1507987.000,1507987.000
254,222,6851.324,3389,11086,1520994.000,1520994.000
255,441,5184.546,3433,6893,2286385.000,2286385.000
256,319,5662.743,3428,7506,1806415.000,1806415.000
257,354,4481.749,3384,5871,1586539.000,1586539.000
258,281,4298.125,3402,5150,1207773.000,1207773.000
259,219,9528.539,3470,16141,2086750.000,2086750.000
260,237,4045.962,3402,4958,958893.000,958893.000
261,245,4060.286,3384,4922,994770.000,994770.000
262,254,4094.591,3383,4911,1040026.000,1040026.000
263,257,4550.875,3382,5433,1169575.000,1169575.000
264,253,4498.881,3411,5996,1138217.000,1138217.000
265,385,4858.332,3408,6305,1870458.000,1870458.000
266,250,4942.516,3390,6456,1235629.000,1235629.000
267,269,4291.933,3413,5403,1154530.000,1154530.000
268,246,3808.146,3387,4613,936804.000,936804.000
269,387,10296.478,3417,22436,3984737.000,3984737.000
270,270,4392.070,3387,5419,1185859.000,1185859.000
271,350,4364.869,3385,5593,1527704.000,1527704.000
272,231,4630.273,3402,6089,1069593.000,1069593.000
273,428,5404.942,3402,6821,2313315.000,2313315.000
274,227,9362.674,3401,17706,2125327.000,2125327.000
275,275,4095.102,3384,4901,1126153.000,1126153.000
276,481,4513.004,3396,5974,2170755.000,2170755.000
277,345,4199.116,3386,5247,1448695.000,1448695.000
278,236,4934.936,3431,6883,1164645.000,1164645.000
279,470,5012.819,3387,7898,2356025.000,2356025.000
280,253,4379.344,3399,5631,1107974.000,1107974.000
281,263,3974.205,3396,5032,1045216.000,1045216.000
282,281,4882.929,3388,6265,1372103.000,1372103.000
283,298,4347.527,3404,5466,1295563.000,1295563.000
284,391,4656.015,3385,6065,1820502.000,1820502.000
285,329,6438.082,3391,9254,2118129.000,2118129.000
286,397,5097.564,3382,6932,2023733.000,2023733.000
287,341,6123.405,3405,8582,2088081.000,2088081.000
288,225,4602.178,3390,5897,1035490.000,1035490.000
289,223,5068.045,3385,6367,1130174.000,1130174.000
290,327,4352.810,3393,5354,1423369.000,1423369.000
291,282,4238.255,3398,5327,1195188.000,1195188.000
292,381,4623.942,3397,5906,1761722.000,1761722.000
293,337,4393.567,3388,5730,1480632.000,1480632.000
294,233,4550.948,3400,5861,1060371.000,1060371.000
295,326,3997.546,3385,5104,1303200.000,1303200.000
296,300,4004.767,3396,5193,1201430.000,1201430.000
297,298,4231.933,3385,5533,1261116.000,1261116.000
298,272,5109.346,3384,6887,1389742.000,1389742.000
299,253,4123.787,3383,5007,1043318.000,1043318.000
300,356,5028.329,3383,6783,1790085.000,1790085.000
301,226,4892.805,3403,6464,1105774.000,1105774.000
302,311,4280.897,3382,5385,1331359.000,1331359.000
303,327,6376.095,3429,8950,2084983.000,2084983.000
304,344,6087.270,3389,8275,2094021.000,2094021.000
305,315,4593.387,3386,6078,1446917.000,1446917.000
306,440,5251.216,3406,6852,2310535.000,2310535.000
307,307,3766.049,3387,4629,1156177.000,1156177.000
308,306,5217.480,3386,6786,1596549.000,1596549.000
309,319,3866.862,3386,4534,1233529.000,1233529.000
310,151,10065.854,3395,22084,1519944.000,1519944.000
311,246,4306.919,3394,5490,1059502.000,1059502.000
312,248,4507.919,3384,5793,1117964.000,1117964.000
313,398,5159.962,3415,7022,2053665.000,2053665.000
314,492,5157.756,3386,8260,2537616.000,2537616.000
315,279,4630.631,3382,6307,1291946.000,1291946.000
316,311,5058.122,3388,6442,1573076.000,1573076.000
317,296,5375.416,3393,7343,1591123.000,1591123.000
318,263,4372.099,3408,5559,1149862.000,1149862.000
319,162,9280.537,3420,19261,1503447.000,1503447.000
320,308,5174.705,3394,7272,1593809.000,1593809.000
321,359,4847.524,3388,6453,1740261.000,1740261.000
322,259,4242.579,3384,5717,1098828.000,1098828.000
323,480,6108.265,3496,8755,2931967.000,2931967.000
324,310,4505.423,3421,5784,1396681.000,1396681.000
325,279,5866.362,3416,7954,1636715.000,1636715.000
326,362,5189.506,3387,6749,1878601.000,1878601.000
327,458,5278.133,3396,7083,2417385.000,2417385.000
328,353,5966.116,3411,8409,2106039.000,2106039.000
329,279,4388.373,3388,5635,1224356.000,1224356.000
330,318,4941.236,3391,6854,1571313.000,1571313.000
331,308,5123.292,3406,6978,1577974.000,1577974.000
332,299,4643.542,3403,6285,1388419.000,1388419.000
333,314,4484.236,3404,5555,1408050.000,1408050.000
334,297,5349.613,3440,7462,1588835.000,1588835.000
335,286,5571.951,3401,7277,1593578.000,1593578.000
336,292,4053.582,3387,5295,1183646.000,1183646.000
337,295,4680.217,3385,6261,1380664.000,1380664.000
338,275,4364.825,3383,5653,1200327.000,1200327.000
339,369,4808.331,3398,5979,1774274.000,1774274.000
340,365,5679.504,3420,7546,2073019.000,2073019.000
341,393,6567.720,3393,10036,2581114.000,2581114.000
342,264,4403.848,3382,5713,1162616.000,1162616.000
343,357,5009.737,3417,6731,1788476.000,1788476.000
344,321,4480.417,3399,5984,1438214.000,1438214.000
345,295,4589.041,3402,6218,1353767.000,1353767.000
346,455,4539.765,3400,6302,2065593.000,2065593.000
347,273,4215.432,3382,5403,1150813.000,1150813.000
348,294,4682.102,3405,6435,1376538.000,1376538.000
349,297,4780.532,3435,6171,1419818.000,1419818.000
350,292,4633.031,3402,6087,1352845.000,1352845.000
351,270,5410.822,3396,7598,1460922.000,1460922.000
352,323,4808.344,3391,6262,1553095.000,1553095.000
353,309,4316.871,3384,5882,1333913.000,1333913.000
354,256,5771.324,3391,7658,1477459.000,1477459.000
355,283,5150.774,3497,6379,1457669.000,1457669.000
356,295,5298.349,3462,6960,1563013.000,1563013.000
357,403,5015.891,3403,6869,2021404.000,2021404.000
358,323,4928.557,3396,6300,1591924.000,1591924.000
359,265,4400.042,3382,5420,1166011.000,1166011.000
360,320,5010.178,3382,6504,1603257.000,1603257.000
361,318,4081.041,3393,4985,1297771.000,1297771.000
362,203,7492.409,3407,11622,1520959.000,1520959.000
363,289,4565.000,3386,6683,1319285.000,1319285.000
364,298,10237.765,3394,20754,3050854.000,3050854.000
365,361,12051.657,3388,31172,4350648.000,4350648.000
366,309,6390.871,3429,8771,1974779.000,1974779.000
367,292,6732.082,3477,9203,1965768.000,1965768.000
368,416,4797.399,3409,6635,1995718.000,1995718.000
369,435,6045.064,3385,8847,2629603.000,2629603.000
370,282,5342.004,3460,6876,1506445.000,1506445.000
371,460,4889.524,3382,6180,2249181.000,2249181.000
372,309,3987.631,3401,5155,1232178.000,1232178.000
373,205,3750.824,3385,4518,768919.000,768919.000
374,298,5074.718,3408,6575,1512266.000,1512266.000
375,299,4328.097,3388,5297,1294101.000,1294101.000
376,280,4460.236,3385,5627,1248866.000,1248866.000
377,279,5413.989,3424,6975,1510503.000,1510503.000
378,281,4824.534,3384,6493,1355694.000,1355694.000
379,260,4446.577,3394,5384,1156110.000,1156110.000
380,274,4378.358,3383,5549,1199670.000,1199670.000
381,244,4956.361,3438,6472,1209352.000,1209352.000
382,317,4713.066,3408,6107,1494042.000,1494042.000
383,355,4673.273,3386,6010,1659012.000,1659012.000
384,303,3914.122,3388,4730,1185979.000,1185979.000
385,288,4791.872,3408,6309,1380059.000,1380059.000
386,327,4976.150,3385,6740,1627201.000,1627201.000
387,386,4477.303,3383,6108,1728239.000,1728239.000
388,285,4853.884,3395,6271,1383357.000,1383357.000
389,389,5174.272,3441,6515,2012792.000,2012792.000
390,362,4346.624,3399,5880,1573478.000,1573478.000
391,475,6440.048,3400,10291,3059023.000,3059023.000
392,293,4637.249,3385,5628,1358714.000,1358714.000
393,290,4786.576,3413,5910,1388107.000,1388107.000
394,340,4347.135,3398,5813,1478026.000,1478026.000
395,278,4218.165,3397,5153,1172650.000,1172650.000
396,304,4354.589,3392,5595,1323795.000,1323795.000
397,358,4979.642,3407,6375,1782712.000,1782712.000
398,334,4822.335,3399,6296,1610660.000,1610660.000
399,469,4393.736,3410,5991,2060662.000,2060662.000
400,280,4065.982,3387,5255,1138475.000,1138475.000
401,322,4834.714,3433,6390,1556778.000,1556778.000
402,369,4773.184,3398,6493,1761305.000,1761305.000
403,266,3832.248,3384,4443,1019378.000,1019378.000
404,285,4147.025,3392,5160,1181902.000,1181902.000
405,276,7249.598,3382,11011,2000889.000,2000889.000
406,298,4590.248,3392,6205,1367894.000,1367894.000
407,284,4035.901,3396,5126,1146196.000,1146196.000
408,305,4198.262,3382,4991,1280470.000,1280470.000
409,298,4920.648,3389,6602,1466353.000,1466353.000
410,403,4912.578,3404,6573,1979769.000,1979769.000
411,249,4773.699,3401,5956,1188651.000,1188651.000
412,275,3892.556,3390,4884,1070453.000,1070453.000
413,332,5282.774,3383,7550,1753881.000,1753881.000
414,364,5541.824,3415,7262,2017224.000,2017224.000
415,264,4123.947,3392,5455,1088722.000,1088722.000
416,281,4451.915,3405,5819,1250988.000,1250988.000
417,260,3902.150,3383,4952,1014559.000,1014559.000
418,294,4850.235,3419,6412,1425969.000,1425969.000
419,275,7208.229,3388,10281,1982263.000,1982263.000
420,164,8775.256,3396,15718,1439142.000,1439142.000
421,310,3879.684,3382,4524,1202702.000,1202702.000
422,302,4158.477,3398,5492,1255860.000,1255860.000
423,302,4493.248,3413,5761,1356961.000,1356961.000
424,256,3837.508,3382,4446,982402.000,982402.000
425,333,5273.279,3400,7086,1756002.000,1756002.000
426,161,7698.081,3402,14371,1239391.000,1239391.000
427,308,4684.571,3411,6031,1442848.000,1442848.000
428,306,4769.922,3385,6087,1459596.000,1459596.000
429,328,4283.049,3382,5666,1404840.000,1404840.000
430,368,4699.995,3393,6336,1729598.000,1729598.000
431,262,4149.557,3385,5286,1087184.000,1087184.000
432,320,4597.897,3396,6244,1471327.000,1471327.000
433,271,4658.089,3386,6040,1262342.000,1262342.000
434,301,4254.542,3398,5313,1280617.000,1280617.000
435,327,4691.752,3394,6377,1534203.000,1534203.000
436,319,6273.223,3385,8917,2001158.000,2001158.000
437,279,4169.638,3383,5171,1163329.000,1163329.000
438,167,8510.641,3447,14963,1421277.000,1421277.000
439,386,4900.166,3388,6569,1891464.000,1891464.000
440,309,4127.955,3396,5077,1275538.000,1275538.000
441,433,4481.596,3383,5950,1940531.000,1940531.000
442,345,5725.157,3391,8150,1975179.000,1975179.000
443,438,7124.084,3389,14052,3120349.000,3120349.000
444,268,9327.646,3403,17266,2499809.000,2499809.000
445,354,4416.121,3392,5504,1563307.000,1563307.000
446,427,6063.934,3394,8040,2589300.000,2589300.000
447,306,4028.173,3383,5080,1232621.000,1232621.000
448,272,4555.772,3394,6274,1239170.000,1239170.000
449,285,4171.449,3385,5622,1188863.000,1188863.000
450,280,3885.657,3382,4645,1087984.000,1087984.000
451,303,6476.403,3405,9181,1962350.000,1962350.000
452,300,4523.890,3389,5929,1357167.000,1357167.000
453,302,4158.927,3387,5327,1255996.000,1255996.000
454,297,4469.209,3397,6185,1327355.000,1327355.000
455,346,5042.997,3413,6968,1744877.000,1744877.000
456,303,4633.139,3397,6119,1403841.000,1403841.000
457,407,4685.796,3394,6090,1907119.000,1907119.000
458,296,6707.291,3388,9622,1985358.000,1985358.000
459,424,6132.774,3443,8382,2600296.000,2600296.000
460,393,4596.791,3404,6083,1806539.000,1806539.000
461,314,4200.315,3385,5174,1318899.000,1318899.000
462,288,5087.979,3405,6805,1465338.000,1465338.000
463,456,4472.373,3385,5857,2039402.000,2039402.000
464,281,4400.804,3395,5730,1236626.000,1236626.000
465,257,5311.642,3389,7243,1365092.000,1365092.000
466,336,4682.315,3404,6042,1573258.000,1573258.000
467,327,4207.547,3388,5406,1375868.000,1375868.000
468,379,5332.842,3444,7050,2021147.000,2021147.000
469,328,4437.945,3386,5604,1455646.000,1455646.000
470,220,6406.755,3405,9230,1409486.000,1409486.000
471,253,3736.779,3384,4291,945405.000,945405.000
472,261,4035.801,3382,5180,1053344.000,1053344.000
473,306,4343.046,3383,6173,1328972.000,1328972.000
474,425,6758.802,3409,10490,2872491.000,2872491.000
475,306,4706.461,3389,6614,1440177.000,1440177.000
476,368,5198.367,3389,7057,1912999.000,1912999.000
